locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,FoodItems2,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
765202,Golden Catering,Truck,2825101,BAY SHORE BLVD: LELAND AVE to VISITACION AVE (2401 - 2499) -- EAST --,2401 BAY SHORE BLVD,5087003A,5087,003A,16MFF-0047,APPROVED,Cold Truck: Pre-packaged Sandwiches: Various Beverages: Salads: Snacks,ColdTruck,6011284.798,2086924.615,37.71093379,-122.4027845,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0047&ExportPDF=1&Filename=16MFF-0047_schedule.pdf,Mo-Fr:10AM-11AM,,3/11/16 0:00,3/11/16,1,3/15/17 0:00,"(37.710933792981, -122.40278453801)"
765723,Eva's Catering,Truck,305000,05TH ST: WELSH ST to BRANNAN ST (530 - 599),530 05TH ST,3778001B,3778,001B,16MFF-0053,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,ColdTruck,6012502.558,2110915.797,37.77687639,-122.4002596,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0053&ExportPDF=1&Filename=16MFF-0053_schedule.pdf,Mo-Fr:4AM-5AM,,3/14/16 0:00,3/14/16,1,3/15/17 0:00,"(37.7768763887765, -122.400259575202)"
759550,Paradise Catering,Truck,4194000,CLEMENTINA ST: 01ST ST to ECKER ST (1 - 37),19 CLEMENTINA ST,3736124,3736,124,16MFF-0012,APPROVED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,ColdTruck,6013968.817,2114630.492,37.78715774,-122.3954476,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0012&ExportPDF=1&Filename=16MFF-0012_schedule.pdf,Mo-Fr:9AM-10AM,,3/2/16 0:00,3/2/16,1,3/15/17 0:00,"(37.787157744174, -122.395447605152)"
765941,San Pancho's Tacos,Truck,3670000,CAPITOL AVE: DE MONTFORT AVE to OCEAN AVE (1200 - 1299),1271 CAPITOL AVE,6935001,6935,1,16MFF-0071,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,Mexican,5995019.526,2092127.388,37.72429778,-122.4593773,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0071&ExportPDF=1&Filename=16MFF-0071_schedule.pdf,Su:7AM-7PM,,3/15/16 0:00,3/15/16,1,3/15/17 0:00,"(37.7242977785276, -122.459377309548)"
766573,Rita's Catering,Truck,9100000,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1028 MISSION ST,3703033,3703,33,16MFF-0073,APPROVED,Filipino Food,Authentic,6009812.085,2112361.07,37.78069438,-122.4096688,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0073&ExportPDF=1&Filename=16MFF-0073_schedule.pdf,Mo/We/Fr:7AM-3PM,,3/16/16 0:00,3/16/16,0,3/15/17 0:00,"(37.7806943774082, -122.409668813219)"
765170,DO UC US Mobile Catering,Truck,10293000,PARNASSUS AVE: HILLWAY AVE to 03RD AVE (400 - 599),400 PARNASSUS AVE,1756001,1756,1,16MFF-0046,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,ColdTruck,5995605.966,2106525.104,37.76386403,-122.4583917,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0046&ExportPDF=1&Filename=16MFF-0046_schedule.pdf,Mo-Fr:9AM-4PM,,3/11/16 0:00,3/11/16,1,3/15/17 0:00,"(37.7638640323832, -122.458391749844)"
760093,Mini Mobile Food Catering,Truck,8958000,MENDELL ST: GALVEZ AVE to HUDSON AVE (600 - 699),620 MENDELL ST,5254002,5254,2,16MFF-0014,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,ColdTruck,6016250.092,2097183.501,37.73937867,-122.3863379,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0014&ExportPDF=1&Filename=16MFF-0014_schedule.pdf,Sa:11AM-2PM,,3/3/16 0:00,3/3/16,1,3/15/17 0:00,"(37.7393786694373, -122.386337945153)"
761930,"Off the Grid Services, LLC",Truck,2953000,BERRY ST: 03RD ST to 04TH ST (100 - 199),185 BERRY ST,3803005,3803,5,16MFF-0023,APPROVED,everything except for hot dogs,ColdTruck,6014943.869,2110666.298,37.77632715,-122.3917968,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0023&ExportPDF=1&Filename=16MFF-0023_schedule.pdf,Su:10AM-6PM,,3/17/16 0:00,3/8/16,0,3/15/17 0:00,"(37.7763271477899, -122.391796821077)"
700510,Breaking Bread Inc.,Truck,2754000,BATTERY ST: CALIFORNIA ST to HALLECK ST (200 - 230),300 CALIFORNIA ST,238002,238,2,15MFF-0139,APPROVED,prepackaged food,ColdTruck,6012600.766,2116948.597,37.79344653,-122.4003437,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0139&ExportPDF=1&Filename=15MFF-0139_schedule.pdf,Mo/We/Fr:2PM-6PM,,2/5/16 0:00,8/3/15,0,3/15/17 0:00,"(37.7934465278161, -122.400343675592)"
760541,Linda's Catering,Truck,3285000,BRYANT ST: 04TH ST \ I-80 E OFF RAMP to 05TH ST \ I-80 E ON RAMP (600 - 699),617 BRYANT ST,3777055,3777,55,16MFF-0019,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,Fusion,6013083.726,2111696.027,37.77905111,-122.3983039,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0019&ExportPDF=1&Filename=16MFF-0019_schedule.pdf,Mo/Tu/Th/Fr:8AM-9AM/10AM-11AM,,3/7/16 0:00,3/4/16,1,3/15/17 0:00,"(37.7790511115731, -122.398303881334)"
765944,JapaCurry,Truck,7032000,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),400 HOWARD ST,3720008,3720,8,16MFF-0072,APPROVED,Katsu Curry: KUROBUTA Sausage Curry: Vegetable Curry: Veggie Croquette Curry: Chicken NANBAN Bento: Nori Bento: water: soda: green tea,Authentic,6013858.06,2115347.095,37.78911921,-122.395881,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0072&ExportPDF=1&Filename=16MFF-0072_schedule.pdf,Tu/We/Th:11AM-2PM,,3/15/16 0:00,3/15/16,1,3/15/17 0:00,"(37.7891192076677, -122.395881039335)"
761696,"Off the Grid Services, LLC",Truck,3143000,BROADWAY: DAVIS ST to FRONT ST (50 - 99),90 BROADWAY,140007,140,7,16MFF-0022,APPROVED,everything except for hot dogs,ColdTruck,6012853.387,2119060.762,37.79926011,-122.3996179,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0022&ExportPDF=1&Filename=16MFF-0022_schedule.pdf,Fr:10AM-3PM,,3/17/16 0:00,3/8/16,0,3/15/17 0:00,"(37.7992601135023, -122.399617948655)"
762243,Senor Sisig,Truck,5170000,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,326005,326,5,16MFF-0028,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,Fusion,6010286.046,2114141.69,37.78561009,-122.4081548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0028&ExportPDF=1&Filename=16MFF-0028_schedule.pdf,Sa-Su:11AM-6PM,,3/10/16 0:00,3/9/16,0,3/15/17 0:00,"(37.7856100863691, -122.408154764345)"
765744,Eva's Catering,Truck,7236000,INGALLS ST: CARROLL AVE to DONNER AVE (2600 - 2699),2600 INGALLS ST,4882001,4882,1,16MFF-0055,APPROVED,Corndogs: fried burrito: rice placet: soda: water: sandwiches: soup: noodle plates,ColdTruck,6015050.344,2091107.684,37.72262922,-122.3900618,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0055&ExportPDF=1&Filename=16MFF-0055_schedule.pdf,Mo/We/Fr:10AM-2PM,,3/14/16 0:00,3/14/16,0,3/15/17 0:00,"(37.7226292175983, -122.390061846327)"
762621,Senor Sisig,Truck,480000,10TH ST: FELL ST \ MARKET ST \ POLK ST to END (1 - 18),8 10TH ST,3507041,3507,41,16MFF-0034,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.,Fusion,6007585.376,2110633.378,37.77582552,-122.4172496,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0034&ExportPDF=1&Filename=16MFF-0034_schedule.pdf,Mo/We/Fr:11AM-2PM,,3/18/16 0:00,3/10/16,0,3/15/17 0:00,"(37.7758255197583, -122.417249626643)"
676797,"Peruchi Food Truck,LLC",Truck,4972000,DRUMM ST: CLAY ST to WASHINGTON ST (200 - 299),253 DRUMM ST,203013,203,13,15MFF-0023,APPROVED,Peruvian Chinese Food. Lomo Saltado: Arroz Con Pollo: Tipa Kay: Yuca Fries,Fusion,6013507.554,2117905.099,37.79612338,-122.3972732,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0023&ExportPDF=1&Filename=15MFF-0023_schedule.pdf,Mo/We/Fr:9AM-3PM,,3/15/16 0:00,3/2/15,0,3/15/17 0:00,"(37.7961233802521, -122.397273204338)"
761936,"Off the Grid Services, LLC",Truck,3143000,BROADWAY: DAVIS ST to FRONT ST (50 - 99),90 BROADWAY,140007,140,7,16MFF-0025,APPROVED,everything except for hot dogs,ColdTruck,6012853.387,2119060.762,37.79926011,-122.3996179,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0025&ExportPDF=1&Filename=16MFF-0025_schedule.pdf,Mo/We/Fr:10AM-3PM,,3/17/16 0:00,3/8/16,0,3/15/17 0:00,"(37.7992601135023, -122.399617948655)"
765719,Scotch Bonnet,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,16MFF-0052,APPROVED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,Authentic,6012181.836,2116889.979,37.79326221,-122.4017891,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0052&ExportPDF=1&Filename=16MFF-0052_schedule.pdf,Tu/Th:6AM-8PM,,3/14/16 0:00,3/14/16,0,3/15/17 0:00,"(37.7932622069231, -122.401789091363)"
765855,Curry Up Now,Truck,3422000,,225 BUSH ST,289001,289,1,16MFF-0067,APPROVED,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi,Fusion,6012345.54,2116003.915,37.79083842,-122.4011604,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0067&ExportPDF=1&Filename=16MFF-0067_schedule.pdf,Mo-Fr:11AM-2PM,,3/16/16 0:00,3/15/16,1,3/15/17 0:00,"(37.7908384194517, -122.401160370299)"
762514,Tacos Rodriguez,Truck,9794000,OAKDALE AVE: INDUSTRIAL ST \ SELBY ST to TOLAND ST (2100 - 2199),2198 OAKDALE AVE,5590A008,5590A,8,16MFF-0032,APPROVED,Tacos: burritos: quesadillas: soda & water,Mexican,6011973.411,2097858.615,37.74099474,-122.4011723,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0032&ExportPDF=1&Filename=16MFF-0032_schedule.pdf,Mo-Fr:8AM-5PM,,3/9/16 0:00,3/9/16,1,3/15/17 0:00,"(37.7409947350024, -122.401172335386)"
764026,"Expresso Subito, LLC.",Truck,5869000,FRONT ST: CALIFORNIA ST to HALLECK ST (200 - 234),150 CALIFORNIA ST,236019,236,19,16MFF-0038,APPROVED,Expresso drinks: assorted beverages (canned: bottled: home made): scones: croissants: bagels: soup: chili: parfaits: smoothies: frappes: milk shakes.,ColdTruck,6013145.603,2117020.157,37.79367338,-122.3984635,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0038&ExportPDF=1&Filename=16MFF-0038_schedule.pdf,Mo-Fr:6AM-5PM,,3/14/16 0:00,3/10/16,0,3/15/17 0:00,"(37.7936733815047, -122.398463509486)"
762516,Tacos El Flaco,Truck,194101,03RD ST: 25TH ST to 26TH ST (2901 - 2999) -- EAST --,2901 03RD ST,4296010,4296,10,16MFF-0033,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Chips & Salsa & Various Beverages,Mexican,6016154.266,2101929.534,37.75240499,-122.3870002,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0033&ExportPDF=1&Filename=16MFF-0033_schedule.pdf,Mo/Tu/We/Th/Fr:7AM-6PM,,3/9/16 0:00,3/9/16,0,3/15/17 0:00,"(37.7524049924783, -122.387000196298)"
775686,Think is Good Inc.,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),400 CALIFORNIA ST,238003,238,3,16MFF-0086,APPROVED,Sushi Burrito: Chicken Burrito: Tempura Burrito,Fusion,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0086&ExportPDF=1&Filename=16MFF-0086_schedule.pdf,Tu/Th:10AM-3PM,,3/31/16 0:00,3/29/16,0,3/15/17 0:00,"(0, 0)"
801893,"Santana ESG, Inc.",Truck,6754000,HARRISON ST: 21ST ST to 22ND ST (2500 - 2599),2598 HARRISON ST,3613009,3613,9,16MFF-0117,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,Mexican,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0117&ExportPDF=1&Filename=16MFF-0117_schedule.pdf,Mo-Su:9AM-10PM,,5/20/16 0:00,5/10/16,1,3/15/17 0:00,"(0, 0)"
763509,Roadside Rotisserie Corporation / Country Grill,Truck,5874000,FRONT ST: BROADWAY to VALLEJO ST (800 - 899),90 BROADWAY,140007,140,7,16MFF-0035,APPROVED,Rotisserie Chicken: Ribs: Kickass Salad: Potatos w/fat dripping: chicken wrap.,Authentic,6012853.387,2119060.762,37.79926011,-122.3996179,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0035&ExportPDF=1&Filename=16MFF-0035_schedule.pdf,Mo/We/Fr:10AM-2PM,,3/10/16 0:00,3/10/16,0,3/15/17 0:00,"(37.7992601135023, -122.399617948655)"
767078,BHUK Burger,Truck,10390000,PHELAN AVE: GENEVA AVE \ OCEAN AVE to JUDSON AVE (1 - 199),11 PHELAN AVE,3180001,3180,1,16MFF-0076,APPROVED,Pakistani Indian food: and salad: cold and hot drinks: Pakistani soft drinks: Sohan halva: Pakistani Indian desserts: and fruit dessert,Authentic,5996539.936,2092561.48,37.72557699,-122.4541528,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0076&ExportPDF=1&Filename=16MFF-0076_schedule.pdf,Mo/Tu/We/Th/Fr:7AM-8PM,,3/18/16 0:00,3/18/16,0,3/15/17 0:00,"(37.7255769923986, -122.454152837668)"
760599,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,2471000,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,7,16MFF-0020,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Sodas: Chips: Candy,Mexican,6014982.07,2100806.303,37.74925586,-122.3909754,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0020&ExportPDF=1&Filename=16MFF-0020_schedule.pdf,Mo-Fr:9AM-5PM,,3/21/16 0:00,3/4/16,1,3/15/17 0:00,"(37.7492558595291, -122.390975379577)"
765740,Mike's Catering,Truck,12532003,TERRY A FRANCOIS BLVD: MISSION BAY BLVD to MISSION BAY BLVD (0 - 0),Assessors Block 8722/Lot005,8722005,8722,5,16MFF-0054,APPROVED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,ColdTruck,6016501.447,2108199.438,37.76964003,-122.3862367,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0054&ExportPDF=1&Filename=16MFF-0054_schedule.pdf,Mo/Mo/Mo/Mo/Mo:7AM-8AM/9AM-11AM;Su/Su/Su/Su/Su:9AM-2PM;Sa/Sa/Sa/Sa/Sa:9AM-3PM;Mo/Mo/Mo/Mo/Mo:11AM-1,,3/22/16 0:00,3/14/16,1,3/15/17 0:00,"(37.7696400322177, -122.386236654199)"
764604,BH & MT LLC,Truck,1232000,23RD ST: END to ILLINOIS ST (100 - 699),401 23RD ST,4232010,4232,10,16MFF-0041,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,ColdTruck,6016887.317,2102871.037,37.75503073,-122.3845307,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0041&ExportPDF=1&Filename=16MFF-0041_schedule.pdf,Mo-Fr:11AM-12PM,,3/28/16 0:00,3/11/16,1,3/15/17 0:00,"(37.7550307267667, -122.384530734223)"
769977,SF Cart Project,Truck,15019101,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),535 MISSION BAY BLVD SOUTH,8711007,8711,7,16MFF-0079,APPROVED,7 Multiple Trucks on rotation (1 on Mission Bay Blvd South & 6 on 4th St).   Serving everything but hot dogs,ColdTruck,6014983.883,2108042.285,37.76912441,-122.3914749,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0079&ExportPDF=1&Filename=16MFF-0079_schedule.pdf,Mo-Fr:10AM-3PM,,3/23/16 0:00,3/23/16,0,3/15/17 0:00,"(37.7691244121681, -122.391474911246)"
770569,Kara's Cupcakes,Truck,7832201,KING ST: 02ND ST to 03RD ST (100 - 198) -- NORTH --,118 KING ST,3794010,3794,10,16MFF-0081,APPROVED,Cupcakes,ColdTruck,6015306.857,2111936.992,37.77983633,-122.3906299,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0081&ExportPDF=1&Filename=16MFF-0081_schedule.pdf,Tu/Th/Sa:3PM-4PM;Mo/Tu/We/Th/Fr:5PM-6PM,,3/24/16 0:00,3/24/16,0,3/15/17 0:00,"(37.7798363328837, -122.390629949741)"
770163,Alfaro's Truck,Truck,13057001,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),306 VALENCIA ST,3546001,3546,1,16MFF-0080,APPROVED,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.,Mexican,6006013.135,2107762.89,37.76785527,-122.4224844,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0080&ExportPDF=1&Filename=16MFF-0080_schedule.pdf,Th/Fr/Sa:2PM-10PM,,3/24/16 0:00,3/24/16,0,3/15/17 0:00,"(37.7678552693543, -122.422484404162)"
